Date,HSI
2015-04-27,372.60938 
2015-04-28,9.16016 
2015-04-29,-42.41016 
2015-04-30,-267.33984 
2015-05-04,-9.17969 
2015-05-05,-368.28125 
2015-05-06,-114.62891 
2015-05-07,-350.93945 
2015-05-08,287.36914 
2015-05-11,140.85938 
2015-05-12,-311.01953 
2015-05-13,-157.90039 
2015-05-14,37.27148 
2015-05-15,535.72852 
2015-05-18,-231.02930 
2015-05-19,102.28906 
2015-05-20,-108.48828 
2015-05-21,-61.33008 
2015-05-22,469.10938 
2015-05-26,257.02930 
2015-05-27,-168.64844 
2015-05-28,-626.90039 
2015-05-29,-30.12109 
2015-06-01,172.97070 
2015-06-02,-130.43945 
2015-06-03,190.75000 
2015-06-04,-105.58008 
2015-06-05,-291.73047 
2015-06-08,56.11914 
2015-06-09,-326.75977 
2015-06-10,-301.87891 
2015-06-11,220.20898 
2015-06-12,372.68945 
2015-06-15,-418.72852 
2015-06-16,-295.11133 
2015-06-17,187.08984 
2015-06-18,-59.12891 
2015-06-19,65.86914 
2015-06-22,320.32031 
2015-06-23,252.61133 
2015-06-24,71.50977 
2015-06-25,-259.22070 
2015-06-26,-481.88086 
2015-06-29,-696.88867 
2015-06-30,283.04883 
2015-07-02,32.29102 
2015-07-03,-218.21094 
2015-07-06,-827.83008 
2015-07-07,-260.96875 
2015-07-08,-1458.75000 
2015-07-09,876.22852 
2015-07-10,508.49023 
2015-07-13,322.73047 
2015-07-14,-103.09961 
2015-07-15,-65.15039 
2015-07-16,107.01953 
2015-07-17,252.49023 
2015-07-20,-10.45898 
2015-07-21,131.61914 
2015-07-22,-253.81055 
2015-07-23,116.23047 
2015-07-24,-270.33984 
2015-07-27,-776.54883 
2015-07-28,151.97852 
2015-07-29,115.50977 
2015-07-30,-121.46875 
2015-07-31,138.29883 
2015-08-03,-224.85938 
2015-08-04,-5.30078 
2015-08-05,108.04102 
2015-08-06,-138.88086 
2015-08-07,177.19141 
2015-08-10,-31.35156 
2015-08-11,-22.90820 
2015-08-12,-582.19141 
2015-08-13,102.78125 
2015-08-14,-27.77148 
2015-08-17,-176.37891 
2015-08-18,-339.67969 
2015-08-19,-307.12109 
2015-08-20,-410.37891 
2015-08-21,-347.85156 
2015-08-24,-1158.04883 
2015-08-25,153.39063 
2015-08-26,-324.57031 
2015-08-27,758.14844 
2015-08-28,-226.14844 
2015-08-31,58.18945 
2015-09-01,-485.15039 
2015-09-02,-250.49024 
2015-09-04,-94.33008 
2015-09-07,-257.08984 
2015-09-08,675.51953 
2015-09-09,872.27148 
2015-09-10,-568.81055 
2015-09-11,-58.13086 
2015-09-14,57.53125 
2015-09-15,-106.66992 
2015-09-16,511.42969 
2015-09-17,-112.02930 
2015-09-18,66.19922 
2015-09-21,-163.90039 
2015-09-22,39.65039 
2015-09-23,-493.66992 
2015-09-24,-206.92969 
2015-09-25,90.33984 
2015-09-29,-629.72070 
2015-09-30,289.70117 
2015-10-02,659.78906 
2015-10-05,348.41016 
2015-10-06,-22.88086 
2015-10-07,684.14063 
2015-10-08,-160.84961 
2015-10-09,103.89063 
2015-10-12,272.12891 
2015-10-13,-130.46875 
2015-10-14,-160.55078 
2015-10-15,448.25977 
2015-10-16,179.19922 
2015-10-19,8.24023 
2015-10-20,-86.38867 
2015-10-22,-143.85156 
2015-10-23,306.57031 
2015-10-26,-35.68945 
2015-10-27,26.48047 
2015-10-28,-186.16016 
2015-10-29,-136.63086 
2015-10-30,-179.90039 
2015-11-02,-270.00000 
2015-11-03,198.39063 
2015-11-04,485.14063 
2015-11-05,-2.53125 
2015-11-06,-183.70899 
2015-11-09,-140.56055 
2015-11-10,-325.07031 
2015-11-11,-49.52930 
2015-11-12,536.75000 
2015-11-13,-492.77930 
2015-11-16,-385.32031 
2015-11-17,253.42969 
2015-11-18,-75.99023 
2015-11-19,311.96094 
2015-11-20,254.50000 
2015-11-23,-88.82031 
2015-11-24,-78.26953 
2015-11-25,-89.63086 
2015-11-26,-9.06055 
2015-11-27,-420.61914 
2015-11-30,-71.90039 
2015-12-01,384.92969 
2015-12-02,98.33984 
2015-12-03,-62.67969 
2015-12-04,-181.11914 
2015-12-07,-32.66992 
2015-12-08,-298.08984 
2015-12-09,-101.37109 
2015-12-10,-99.15039 
2015-12-11,-240.55859 
2015-12-14,-154.20117 
2015-12-15,-35.48047 
2015-12-16,426.84180 
2015-12-17,170.84961 
2015-12-18,-116.50000 
2015-12-21,36.11914 
2015-12-22,38.33984 
2015-12-23,210.57031 
2015-12-24,97.54102 
2015-12-28,-218.51172 
2015-12-29,80.00000 
2015-12-30,-117.46875 
2015-12-31,32.25000 
2016-01-04,-587.28125 
2016-01-05,-138.39844 
2016-01-06,-207.91016 
2016-01-07,-647.47070 
2016-01-08,120.37109 
2016-01-11,-565.21094 
2016-01-12,-176.74023 
2016-01-13,223.12109 
2016-01-14,-117.47070 
2016-01-15,-296.64063 
2016-01-18,-283.32031 
2016-01-19,398.36133 
2016-01-20,-749.50977 
2016-01-21,-344.15039 
2016-01-22,538.35938 
2016-01-25,259.63086 
2016-01-26,-479.33984 
2016-01-27,191.64844 
2016-01-28,143.38086 
2016-01-29,487.27930 
2016-02-01,-87.60938 
2016-02-02,-148.66016 
2016-02-03,-455.25000 
2016-02-04,191.50000 
2016-02-05,105.08008 
2016-02-11,-742.36914 
2016-02-12,-226.22070 
2016-02-15,598.56055 
2016-02-16,203.93945 
2016-02-17,-197.50977 
2016-02-18,438.50977 
2016-02-19,-77.58008 
2016-02-22,178.58984 
2016-02-23,-49.31055 
2016-02-24,-222.33008 
2016-02-25,-303.69922 
2016-02-26,475.40039 
2016-02-29,-252.22070 
2016-03-01,295.53125 
2016-03-02,596.02930 
2016-03-03,-61.73047 
2016-03-04,234.93945 
2016-03-07,-16.97852 
2016-03-08,-148.14063 
2016-03-09,-15.32031 
2016-03-10,-11.83984 
2016-03-11,215.17969 
2016-03-14,235.74024 
2016-03-15,-146.57031 
2016-03-16,-31.07031 
