firm_code,year,TFP,Data,Industry,SOE,Incentive_F,Incentive_M,Senior_Edu,CEO_Edu,Ln_Age
111041002,2017,0.98861921,0.625,Special equipment manufacturing industry,0,0.875,0.9375,15.666667,1,2.5649493
111041003,2017,1.4745803,0.62847221,"Computer, communications and other electronic equipment",1,0.6875,0.6875,15,1,2.8903718
111041010,2017,2.4821603,0.45833334,"Computer, communications and other electronic equipment",1,0.66666669,0.66666669,16,1,3.1780539
111041012,2017,1.7598984,0.50694442,Printing,0,0.77083331,0.45833334,16,1,3.2580965
111041013,2017,1.9587537,0.79166669,Electrical machinery and equipment,1,0.6875,0.60416669,13.5,1,2.7725887
111041014,2017,-1.0457321,0.30902779,Special equipment manufacturing industry,0,0.5,0.52083331,12,0,2.3978953
111041016,2017,1.3853574,0.4201389,"Computer, communications and other electronic equipment",0,0.875,0.875,10.5,0,2.9444389
111041020,2017,1.8111719,0.5138889,Rubber and plastic products industry,0,0.6875,0.6875,16,1,2.8332133
111041021,2017,0.096186891,0.64583331,Electrical machinery and equipment,0,0.47916669,0.47916669,16,1,2.7080503
111041023,2017,1.0985395,0.63194442,Chemical industry,0,0.35416669,0.41666669,14.333333,1,2.5649493
111041026,2017,1.0799503,0.61805558,Electrical machinery and equipment,0,0.60416669,0.66666669,14.2,1,2.4849067
111041027,2017,0.5146578,0.5486111,Textile Industry,0,0.39583334,0.39583334,11,1,2.4849067
111041030,2017,0.90220207,0.46527779,Rubber and plastic products industry,0,0.5,0.6875,15.5,1,2.0794415
111041033,2017,0.77855182,0.60416669,"Computer, communications and other electronic equipment",0,0.75,0.60416669,15.333333,1,2.6390574
111041034,2017,,0.3923611,General equipment manufacturing industry,0,0.5625,0.6875,13.5,1,2.8903718
111041036,2017,2.1656225,0.5763889,"Computer, communications and other electronic equipment",0,0.5625,0.5625,13.25,1,2.8332133
111041043,2017,0.25897479,0.4861111,Electrical machinery and equipment,0,0.625,0.6875,10.666667,1,2.9957323
111041047,2017,-0.36333725,0.47222221,Automobile manufacturing industry,0,0.5625,0.625,12.333333,1,3.2188759
111041052,2017,-2.3315713,0.22569445,Paper and paper product industry,0,0.375,0.4375,12,0,2.3025851
111041053,2017,-1.5386525,0.43055555,Chemical industry,0,0.16666667,,14,0,2.3025851
111041054,2017,-0.39474729,0.52777779,Electrical machinery and equipment,0,0.5,0.5625,14,1,1.6094379
111041055,2017,-0.87641436,0.32291666,Textile Industry,0,,0.47916669,12,1,2.3978953
111041056,2017,-1.5616608,0.4201389,Electrical machinery and equipment,0,0.5625,0.6875,16,0,2.3025851
111041058,2017,-1.6867907,0.36805555,General equipment manufacturing industry,0,0.4375,0.4375,14,0,2.3978953
111041060,2017,-0.008335876,0.7361111,Nonmetallic mineral products industry,0,1,0.75,12,0,1.0986123
111041066,2017,-0.35405558,0.33333334,General equipment manufacturing industry,0,,,16,1,0.69314718
115042001,2017,-1.235707,0.1423611,Printing,0,,,,0,1.7917595
115042002,2017,-0.25252452,0.39583334,Clothing ,0,0.79166669,0.8125,11,1,2.3978953
115042006,2017,-0.38171569,0.4375,Clothing ,0,0.79166669,,12,0,1.9459101
115042008,2017,-0.69354308,0.53125,Paper and paper product industry,0,1,0.75,13,0,2.9957323
115042009,2017,-0.63321513,0.56944442,Nonmetallic mineral products industry,0,0.9375,0.9375,13.5,0,2.1972246
115042011,2017,0.39925045,0.48958334,"Leather, fur, feathers and footwear industry",0,0.41666669,0.375,,1,2.1972246
115042014,2017,0.16889718,0.4861111,Electrical machinery and equipment,0,0.35416669,,10.5,1,2.0794415
115042018,2017,0.49481261,0.56944442,Clothing ,0,0.58333331,0.64583331,15.333333,0,2.1972246
115042019,2017,1.0323019,0.44444445,Metal product industry,0,,0.625,13,0,2.7725887
115042023,2017,0.11329677,0.64583331,"Leather, fur, feathers and footwear industry",0,,,,0,2.5649493
115042030,2017,0.37092176,0.25694445,Clothing ,0,,0.5625,14,1,2.5649493
115042032,2017,-0.071207233,0.3888889,Nonmetallic mineral products industry,0,0.54166669,0.60416669,13.5,0,2.1972246
115042036,2017,-0.446978,,Metal product industry,0,0.25,0.375,15,0,3.1780539
115042037,2017,-0.27059856,0.3611111,General equipment manufacturing industry,0,,,,0,3.0445225
115042039,2017,2.0178821,0.3611111,Farm and sideline food processing,0,0.45833334,0.45833334,13.5,0,2.5649493
115042042,2017,0.97160262,0.3611111,Clothing ,0,0.45833334,0.52083331,13.5,0,2.7725887
115042044,2017,0.61761224,0.59027779,Metal product industry,0,0.54166669,0.54166669,12,1,3.2188759
115042050,2017,0.53224385,0.72916669,Nonmetallic mineral products industry,0,0.9375,0.9375,,1,1.9459101
115042051,2017,-2.0122647,0.079861112,Textile Industry,0,0.75,0.75,,0,1.9459101
115042057,2017,-0.5756557,0.54166669,Special equipment manufacturing industry,0,,0.25,,0,0.69314718
117043001,2017,1.334821,0.44444445,Paper and paper product industry,0,0.35416669,0.29166669,12.333333,1,2.7725887
117043003,2017,0.74238795,0.52430558,Metal product industry,0,0.66666669,0.66666669,12,0,3.1354942
117043004,2017,1.9766579,0.52777779,Textile Industry,0,0.5,0.6875,11.333333,1,2.5649493
117043008,2017,-0.59501958,0.47569445,"Education, art, sport and entertainment product",0,0.54166669,0.54166669,12,0,2.4849067
117043010,2017,2.8897765,0.62152779,"Computer, communications and other electronic equipment",0,0.29166669,0.60416669,16,1,2.9957323
117043014,2017,0.89822996,0.61458331,Electrical machinery and equipment,0,0.66666669,0.85416669,10.75,1,2.5649493
117043015,2017,0.59401101,0.44444445,Nonmetallic mineral products industry,0,0.6875,0.66666669,13.5,0,1.6094379
117043017,2017,1.41811,0.6111111,Special equipment manufacturing industry,0,0.60416669,0.54166669,13,1,2.8332133
117043019,2017,0.071182005,0.55208331,"Computer, communications and other electronic equipment",0,0.1875,0.45833334,13,0,2.8332133
117043021,2017,-0.07269185,0.45833334,Rubber and plastic products industry,0,0.375,0.72916669,13,1,2.7725887
117043022,2017,-1.0146313,0.3611111,Electrical machinery and equipment,0,0.35416669,0.29166669,11,1,2.0794415
117043023,2017,0.72499645,0.39930555,Clothing ,0,,,11,0,2.3978953
