id_n,year,income,debt_r,FinanceCF,Inv,lAsset/Size,cash,Inv_income,OperationCF,M&A
1186,2015,1.69466 ,0.37141 ,-0.24229 ,0.22602 ,23.03563 ,0.15219 ,0.03560 ,5,0
728,2019,0.92252 ,0.37081 ,-1.06769 ,0.19100 ,24.10100 ,0.18253 ,0.05470 ,4,1
1186,2011,1.17355 ,0.36592 ,4.86055 ,0.03607 ,22.87139 ,0.11142 ,0.01965 ,-1,0
1088,2017,3.37735 ,0.36493 ,-3.57679 ,1.22255 ,23.80064 ,0.07558 ,0.02461 ,4,0
293,2010,19.22877 ,0.35913 ,-6.02040 ,0.00000 ,20.52020 ,0.08575 ,6.88536 ,22,0
151,2014,0.02181 ,0.35716 ,-0.00894 ,0.00000 ,24.36193 ,0.01758 ,-0.00001 ,0,0
728,2011,1.62579 ,0.35356 ,-2.04719 ,0.00044 ,23.32895 ,0.25313 ,0.01027 ,5,1
728,2015,0.98265 ,0.35162 ,0.17703 ,0.14350 ,24.02517 ,0.15697 ,-0.02540 ,4,1
1171,2017,3.20897 ,0.34819 ,6.70912 ,0.01423 ,21.98019 ,0.01177 ,0.24341 ,3,1
267,2010,40.42270 ,0.34297 ,53.02312 ,0.00000 ,19.53891 ,0.02871 ,8.59640 ,10,0
267,2016,30.09489 ,0.32170 ,40.06596 ,364.07745 ,21.57768 ,0.35574 ,2.47404 ,119,1
386,2012,384.98489 ,0.32047 ,23.90388 ,21.86092 ,19.27698 ,0.12572 ,7.90425 ,605,1
1171,2013,-0.15822 ,0.31650 ,3.62287 ,0.00115 ,22.02278 ,0.02333 ,-0.03876 ,-1,1
1171,2018,4.34385 ,0.31650 ,-0.51567 ,1.00759 ,22.02278 ,0.02333 ,0.41835 ,5,1
386,2016,232.17302 ,0.31489 ,-269.52881 ,237.11188 ,19.65969 ,0.04315 ,27.71848 ,621,1
1186,2019,2.49013 ,0.31420 ,1.79457 ,2.12869 ,23.14409 ,0.16795 ,-0.01253 ,4,1
1186,2014,1.32851 ,0.31420 ,1.29914 ,0.11958 ,23.14409 ,0.16795 ,0.00737 ,1,0
1186,2018,1.95248 ,0.31224 ,0.13594 ,0.28620 ,23.27724 ,0.14023 ,0.15017 ,0,1
1109,2014,16.44219 ,0.30301 ,10.45686 ,3.07042 ,21.21129 ,0.07560 ,0.03534 ,5,0
1088,2019,3.36928 ,0.29930 ,-1.92913 ,1.90391 ,23.68175 ,0.06935 ,0.02247 ,3,0
1109,2018,29.11941 ,0.29806 ,19.11957 ,12.38713 ,21.29783 ,0.01419 ,0.73002 ,15,0
1109,2013,13.66747 ,0.29806 ,0.37516 ,2.29158 ,21.29783 ,0.01419 ,0.17429 ,10,0
386,2007,1.25404 ,0.29281 ,-0.07978 ,0.05068 ,24.92131 ,0.02997 ,0.08566 ,2,1
386,2009,1.21053 ,0.29281 ,-0.51527 ,0.08265 ,24.92131 ,0.02997 ,0.05065 ,2,1
386,2004,0.87720 ,0.29060 ,0.07400 ,0.99460 ,24.94204 ,0.06514 ,0.01336 ,1,0
386,2003,0.50156 ,0.29060 ,-0.19473 ,0.64837 ,24.94204 ,0.06514 ,0.00908 ,1,0
941,2011,27.05857 ,0.28816 ,-9.48939 ,2.27407 ,22.54075 ,0.06910 ,0.69928 ,37,1
1800,2007,39.25544 ,0.28437 ,23.50513 ,15.04051 ,19.31733 ,0.73581 ,0.37122 ,7,0
1211,2014,0.24400 ,0.28412 ,2.03003 ,0.10585 ,21.99911 ,0.00497 ,-0.03417 ,0,0
1211,2010,0.73109 ,0.28412 ,2.13662 ,0.52949 ,22.18143 ,0.00546 ,0.00595 ,1,1
386,2013,380.40884 ,0.28404 ,126.14260 ,714.21313 ,19.33644 ,0.04861 ,18.17360 ,608,1
27,2011,0.01643 ,0.25946 ,0.00867 ,0.00015 ,25.95099 ,0.13159 ,0.00091 ,0,0
27,2018,0.06384 ,0.25751 ,-0.02092 ,0.05161 ,26.08568 ,0.01716 ,0.00182 ,0,0
1898,2007,272.10031 ,0.24952 ,-136.21861 ,14.84417 ,17.24000 ,0.29668 ,0.39460 ,155,0
1109,2017,25.58275 ,0.24872 ,18.12205 ,7.78272 ,21.31204 ,0.05711 ,0.13084 ,6,1
27,2019,0.06689 ,0.24100 ,-0.06085 ,0.01498 ,26.01454 ,0.05366 ,0.00268 ,0,0
27,2014,531.95428 ,0.24100 ,-217.48068 ,0.61819 ,16.80420 ,0.05366 ,8.18346 ,605,0
1171,2009,1.39466 ,0.23657 ,4.53874 ,0.01400 ,22.12859 ,0.00418 ,0.02693 ,2,1
1171,2014,0.39244 ,0.23657 ,2.13208 ,0.02469 ,22.12859 ,0.00418 ,-0.00251 ,1,1
27,2010,0.00490 ,0.23613 ,0.01784 ,0.00026 ,26.00030 ,0.09458 ,0.00072 ,0,0
27,2015,214.96364 ,0.23613 ,-61.13909 ,18.68312 ,16.78996 ,0.09458 ,3.11204 ,338,0
386,2014,276.54221 ,0.23482 ,-90.43433 ,0.00000 ,19.28301 ,0.14593 ,6.90258 ,626,1
1109,2010,7.78029 ,0.23468 ,1.30741 ,0.00000 ,21.12393 ,0.16458 ,0.03219 ,-7,0
386,2015,226.26466 ,0.23379 ,37.43135 ,506.90329 ,19.33185 ,0.17986 ,33.23389 ,667,1
914,2008,0.48346 ,0.23242 ,1.08651 ,0.43301 ,22.63456 ,0.16630 ,0.00059 ,1,1
1171,2019,6.60281 ,0.23030 ,-4.37450 ,1.27271 ,21.54294 ,0.01589 ,0.69378 ,7,1
762,2018,42.62583 ,0.22901 ,-110.98162 ,49.56340 ,19.54197 ,0.00295 ,10.02022 ,301,0
941,2010,24.95644 ,0.22900 ,-8.00933 ,6.21860 ,22.57549 ,0.10575 ,0.08472 ,36,0
941,2015,22.55024 ,0.22900 ,-13.57244 ,30.99870 ,22.57549 ,0.10575 ,1.26923 ,37,1
914,2007,0.58938 ,0.22841 ,0.65286 ,0.01650 ,22.50511 ,0.17527 ,0.00062 ,0,0
914,2011,1.60367 ,0.22750 ,0.56175 ,0.58558 ,23.00459 ,0.12026 ,0.00277 ,1,1
914,2010,0.99614 ,0.22272 ,0.50388 ,0.06478 ,22.82091 ,0.16573 ,0.00335 ,1,0
1171,2005,1.11012 ,0.22194 ,-0.25349 ,0.00000 ,22.10493 ,0.00134 ,0.00000 ,1,1
1171,2010,3.04251 ,0.22194 ,-0.44171 ,0.61031 ,22.10493 ,0.00134 ,0.03290 ,2,0
914,2009,0.59862 ,0.21808 ,-0.24971 ,0.00407 ,22.74235 ,0.15412 ,-0.00017 ,1,1
2777,2017,7.43053 ,0.21791 ,6.36000 ,1.13285 ,22.06670 ,0.49244 ,3.44516 ,-2,0
267,2019,66.86282 ,0.21448 ,58.55153 ,1754.70679 ,21.08513 ,0.00000 ,9.44081 ,111,0
386,2008,0.35490 ,0.21418 ,0.60972 ,0.02105 ,24.95036 ,0.01003 ,0.01416 ,1,0
941,2014,21.87524 ,0.21401 ,-6.58810 ,1.76546 ,22.59790 ,0.44340 ,1.26534 ,32,0
358,2018,2.68865 ,0.21384 ,0.91371 ,19.55850 ,20.91660 ,0.29570 ,-0.08674 ,7,0
914,2012,0.94481 ,0.21357 ,-0.17425 ,0.06064 ,22.87506 ,0.13001 ,-0.00265 ,1,1
1800,2013,27.00829 ,0.20982 ,58.88597 ,15.60660 ,20.19042 ,0.69312 ,0.37824 ,12,0
1800,2018,44.37659 ,0.20652 ,65.81864 ,19.18624 ,20.19042 ,0.69312 ,0.12097 ,16,0
