Date,Open,High,Low,Close,Adj Close,Volume
2023-06-27,147.440002,149.889999,144.990005,147.199997,147.199997,36648564
2023-06-28,139.009995,145.500000,132.960007,141.979996,141.979996,47484929
2023-06-29,144.000000,149.800003,143.500000,148.009995,148.009995,46171818
2023-06-30,145.000000,154.580002,144.020004,147.449997,147.449997,48662214
2023-07-03,147.779999,148.600006,138.889999,146.000000,146.000000,41357921
2023-07-04,146.509995,150.330002,145.000000,146.520004,146.520004,31020123
2023-07-05,146.009995,146.520004,138.720001,138.960007,138.960007,34139676
2023-07-06,138.779999,145.559998,137.699997,139.800003,139.800003,32341159
2023-07-07,144.589996,150.619995,136.229996,146.990005,146.990005,50793793
2023-07-10,145.220001,146.889999,137.039993,143.600006,143.600006,41994561
2023-07-11,145.979996,148.800003,142.580002,148.500000,148.500000,34545628
2023-07-12,149.500000,152.000000,138.789993,138.789993,138.789993,46596161
2023-07-13,141.839996,154.699997,141.839996,154.199997,154.199997,53698272
2023-07-14,156.660004,159.600006,151.110001,155.389999,155.389999,53987381
2023-07-17,154.100006,164.949997,153.929993,157.710007,157.710007,40598314
2023-07-18,160.080002,160.500000,149.990005,151.289993,151.289993,31192160
2023-07-19,154.000000,155.960007,148.919998,149.000000,149.000000,22140348
2023-07-20,147.500000,148.399994,129.550003,130.000000,130.000000,67119847
2023-07-21,130.009995,131.729996,125.709999,130.240005,130.240005,52738178
2023-07-24,130.160004,135.929993,128.880005,131.000000,131.000000,39384208
2023-07-25,133.160004,140.979996,130.009995,134.250000,134.250000,44711892
2023-07-26,134.419998,135.580002,127.029999,129.039993,129.039993,40039717
2023-07-27,127.099998,131.100006,126.110001,127.900002,127.900002,25327707
2023-07-28,126.629997,131.190002,124.599998,126.900002,126.900002,34106699
2023-07-31,124.080002,131.449997,124.000000,128.000000,128.000000,37255534
2023-08-01,128.000000,135.990005,127.660004,134.800003,134.800003,48414577
2023-08-02,134.000000,135.990005,130.520004,133.800003,133.800003,26423435
2023-08-03,130.380005,135.490005,128.330002,130.509995,130.509995,30156950
2023-08-04,130.029999,141.029999,129.509995,139.949997,139.949997,45822926
